3
CONTINUOUS CONTINUOUS CONTINUOUS CONTINUOUS 
150
5.1000,3.5000,1.4000,0.2000,Iris-setosa
4.9000,3.0000,1.4000,0.2000,Iris-setosa
4.7000,3.2000,1.3000,0.2000,Iris-setosa
4.6000,3.1000,1.5000,0.2000,Iris-setosa
5.0000,3.6000,1.4000,0.2000,Iris-setosa
5.4000,3.9000,1.7000,0.4000,Iris-setosa
4.6000,3.4000,1.4000,0.3000,Iris-setosa
5.0000,3.4000,1.5000,0.2000,Iris-setosa
4.4000,2.9000,1.4000,0.2000,Iris-setosa
4.9000,3.1000,1.5000,0.1000,Iris-setosa
5.4000,3.7000,1.5000,0.2000,Iris-setosa
4.8000,3.4000,1.6000,0.2000,Iris-setosa
4.8000,3.0000,1.4000,0.1000,Iris-setosa
4.3000,3.0000,1.1000,0.1000,Iris-setosa
5.8000,4.0000,1.2000,0.2000,Iris-setosa
5.7000,4.4000,1.5000,0.4000,Iris-setosa
5.4000,3.9000,1.3000,0.4000,Iris-setosa
5.1000,3.5000,1.4000,0.3000,Iris-setosa
5.7000,3.8000,1.7000,0.3000,Iris-setosa
5.1000,3.8000,1.5000,0.3000,Iris-setosa
5.4000,3.4000,1.7000,0.2000,Iris-setosa
5.1000,3.7000,1.5000,0.4000,Iris-setosa
4.6000,3.6000,1.0000,0.2000,Iris-setosa
5.1000,3.3000,1.7000,0.5000,Iris-setosa
4.8000,3.4000,1.9000,0.2000,Iris-setosa
5.0000,3.0000,1.6000,0.2000,Iris-setosa
5.0000,3.4000,1.6000,0.4000,Iris-setosa
5.2000,3.5000,1.5000,0.2000,Iris-setosa
5.2000,3.4000,1.4000,0.2000,Iris-setosa
4.7000,3.2000,1.6000,0.2000,Iris-setosa
4.8000,3.1000,1.6000,0.2000,Iris-setosa
5.4000,3.4000,1.5000,0.4000,Iris-setosa
5.2000,4.1000,1.5000,0.1000,Iris-setosa
5.5000,4.2000,1.4000,0.2000,Iris-setosa
4.9000,3.1000,1.5000,0.1000,Iris-setosa
5.0000,3.2000,1.2000,0.2000,Iris-setosa
5.5000,3.5000,1.3000,0.2000,Iris-setosa
4.9000,3.1000,1.5000,0.1000,Iris-setosa
4.4000,3.0000,1.3000,0.2000,Iris-setosa
5.1000,3.4000,1.5000,0.2000,Iris-setosa
5.0000,3.5000,1.3000,0.3000,Iris-setosa
4.5000,2.3000,1.3000,0.3000,Iris-setosa
4.4000,3.2000,1.3000,0.2000,Iris-setosa
5.0000,3.5000,1.6000,0.6000,Iris-setosa
5.1000,3.8000,1.9000,0.4000,Iris-setosa
4.8000,3.0000,1.4000,0.3000,Iris-setosa
5.1000,3.8000,1.6000,0.2000,Iris-setosa
4.6000,3.2000,1.4000,0.2000,Iris-setosa
5.3000,3.7000,1.5000,0.2000,Iris-setosa
5.0000,3.3000,1.4000,0.2000,Iris-setosa
7.0000,3.2000,4.7000,1.4000,Iris-versicolor
6.4000,3.2000,4.5000,1.5000,Iris-versicolor
